X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1132.90019	8.19315	100.19280	0.09036	-1.04785	172.53059	0.30650	-0.99135	0.13003	-0.01793	-0.12998	-0.99151	-0.00394	-0.01829	-0.00158	0.99983	
1132.90876	8.20759	100.22867	0.11953	-0.93830	172.52165	0.29675	-0.99136	0.13019	-0.01596	-0.13013	-0.99149	-0.00420	-0.01638	-0.00209	0.99986	
1132.91267	8.16368	100.21212	0.15716	-0.96051	172.54213	0.28442	-0.99140	0.12984	-0.01627	-0.12978	-0.99153	-0.00490	-0.01676	-0.00274	0.99986	
1132.88124	8.18772	100.23721	0.13337	-0.92622	172.51775	0.26565	-0.99136	0.13026	-0.01572	-0.13020	-0.99148	-0.00441	-0.01616	-0.00233	0.99987	
1132.92019	8.14800	100.20185	0.12702	-1.00414	172.52670	0.28541	-0.99135	0.13010	-0.01709	-0.13004	-0.99150	-0.00448	-0.01752	-0.00222	0.99984	
1132.92365	8.17048	100.19825	0.12839	-1.02478	172.50690	0.28180	-0.99130	0.13045	-0.01744	-0.13039	-0.99145	-0.00455	-0.01788	-0.00224	0.99984	
1132.93048	8.18494	100.20083	0.10413	-1.02370	172.51686	0.27940	-0.99132	0.13027	-0.01748	-0.13021	-0.99148	-0.00413	-0.01787	-0.00182	0.99984	
1132.88271	8.18012	100.20210	0.13121	-0.97944	172.48674	0.27372	-0.99127	0.13079	-0.01665	-0.13074	-0.99141	-0.00451	-0.01709	-0.00229	0.99985	
1132.92168	8.18521	100.24428	0.10345	-0.88528	172.52988	0.28167	-0.99139	0.13004	-0.01508	-0.12999	-0.99151	-0.00380	-0.01545	-0.00181	0.99988	
1132.92887	8.17028	100.20618	0.12088	-0.99377	172.51834	0.28718	-0.99134	0.13024	-0.01692	-0.13019	-0.99148	-0.00435	-0.01734	-0.00211	0.99985	
1132.88522	8.18334	100.20089	0.15666	-0.98176	172.51645	0.26987	-0.99134	0.13029	-0.01663	-0.13022	-0.99147	-0.00494	-0.01713	-0.00273	0.99985	
1132.89466	8.17717	100.18660	0.13631	-1.05629	172.54631	0.28711	-0.99138	0.12977	-0.01797	-0.12970	-0.99154	-0.00475	-0.01843	-0.00238	0.99983	
1132.88610	8.17671	100.21138	0.11908	-0.96833	172.53893	0.28533	-0.99139	0.12989	-0.01649	-0.12983	-0.99153	-0.00426	-0.01690	-0.00208	0.99986	
1132.90717	8.18637	100.21869	0.09208	-0.91327	172.52412	0.30027	-0.99137	0.13013	-0.01559	-0.13009	-0.99150	-0.00367	-0.01594	-0.00161	0.99987	
1132.91300	8.17860	100.21446	0.09659	-1.03463	172.51524	0.29799	-0.99132	0.13029	-0.01768	-0.13024	-0.99147	-0.00402	-0.01806	-0.00169	0.99984	
1132.87315	8.20671	100.21102	0.08774	-1.01956	172.49843	0.31901	-0.99128	0.13058	-0.01744	-0.13053	-0.99144	-0.00384	-0.01779	-0.00153	0.99984	
1132.85238	8.20079	100.23732	0.14578	-0.96002	172.50900	0.28767	-0.99133	0.13041	-0.01628	-0.13035	-0.99146	-0.00471	-0.01675	-0.00254	0.99986	
1132.89179	8.17570	100.20864	0.13666	-1.05960	172.53375	0.30704	-0.99135	0.12999	-0.01803	-0.12992	-0.99151	-0.00477	-0.01849	-0.00238	0.99983	
1132.89803	8.20215	100.26361	0.12299	-0.91460	172.53510	0.30103	-0.99140	0.12995	-0.01555	-0.12990	-0.99152	-0.00420	-0.01596	-0.00215	0.99987	
1132.89126	8.21164	100.23347	0.14240	-0.93708	172.52496	0.29906	-0.99137	0.13013	-0.01589	-0.13008	-0.99149	-0.00459	-0.01635	-0.00249	0.99986	
1132.89190	8.20377	100.24731	0.11294	-0.91872	172.52455	0.30577	-0.99137	0.13013	-0.01564	-0.13008	-0.99149	-0.00404	-0.01603	-0.00197	0.99987	
1132.84468	8.21634	100.21635	0.11366	-1.00208	172.48302	0.29465	-0.99125	0.13085	-0.01708	-0.13080	-0.99140	-0.00425	-0.01749	-0.00198	0.99985	
1132.89378	8.14656	100.21201	0.13262	-0.95637	172.54755	0.27833	-0.99141	0.12974	-0.01625	-0.12969	-0.99155	-0.00446	-0.01669	-0.00231	0.99986	
1132.88211	8.19926	100.23492	0.13229	-0.97530	172.52296	0.28485	-0.99135	0.13017	-0.01658	-0.13011	-0.99149	-0.00450	-0.01702	-0.00231	0.99985	
1132.91472	8.17542	100.24511	0.09873	-0.97889	172.53030	0.31796	-0.99137	0.13003	-0.01672	-0.12998	-0.99151	-0.00393	-0.01708	-0.00172	0.99985	
1132.89897	8.16206	100.20203	0.15803	-1.03110	172.51945	0.29141	-0.99133	0.13024	-0.01748	-0.13017	-0.99148	-0.00508	-0.01800	-0.00276	0.99983	
1132.87179	8.22301	100.24967	0.11572	-0.92244	172.49397	0.28801	-0.99130	0.13066	-0.01570	-0.13061	-0.99142	-0.00411	-0.01610	-0.00202	0.99987	
1132.88850	8.19099	100.24601	0.08569	-0.90431	172.53969	0.28954	-0.99141	0.12986	-0.01545	-0.12982	-0.99153	-0.00353	-0.01578	-0.00150	0.99987	
1132.89111	8.16964	100.18160	0.14859	-1.02066	172.51663	0.27991	-0.99133	0.13028	-0.01732	-0.13022	-0.99147	-0.00489	-0.01781	-0.00259	0.99984	
1132.89621	8.18084	100.18406	0.14709	-0.98329	172.51819	0.28255	-0.99134	0.13025	-0.01668	-0.13019	-0.99148	-0.00478	-0.01716	-0.00257	0.99985	
1132.88381	8.18773	100.19391	0.11677	-0.93805	172.52327	0.29677	-0.99136	0.13016	-0.01597	-0.13011	-0.99149	-0.00415	-0.01637	-0.00204	0.99986	
1132.85737	8.20181	100.20439	0.08570	-1.01476	172.49052	0.29890	-0.99127	0.13072	-0.01736	-0.13067	-0.99142	-0.00380	-0.01771	-0.00150	0.99984	
1132.88391	8.18048	100.22704	0.13238	-1.00582	172.51770	0.28459	-0.99133	0.13026	-0.01710	-0.13020	-0.99148	-0.00458	-0.01755	-0.00231	0.99984	
1132.87662	8.18911	100.25311	0.12070	-0.87701	172.52893	0.28846	-0.99139	0.13006	-0.01490	-0.13001	-0.99150	-0.00408	-0.01531	-0.00211	0.99988	
1132.88449	8.18310	100.21389	0.14564	-0.96239	172.52094	0.27704	-0.99135	0.13021	-0.01632	-0.13015	-0.99148	-0.00471	-0.01680	-0.00254	0.99986	
1132.87558	8.16556	100.19973	0.13578	-0.97618	172.51999	0.29327	-0.99135	0.13022	-0.01658	-0.13016	-0.99148	-0.00457	-0.01704	-0.00237	0.99985	
1132.86029	8.20400	100.21423	0.11792	-0.96428	172.48674	0.30010	-0.99127	0.13079	-0.01642	-0.13074	-0.99141	-0.00424	-0.01683	-0.00206	0.99986	
1132.90311	8.17744	100.20814	0.12925	-0.93788	172.53706	0.30420	-0.99140	0.12992	-0.01594	-0.12987	-0.99152	-0.00436	-0.01637	-0.00226	0.99986	
1132.88194	8.17578	100.20784	0.12274	-0.95137	172.53729	0.29702	-0.99139	0.12992	-0.01618	-0.12986	-0.99152	-0.00428	-0.01660	-0.00214	0.99986	
1132.88838	8.15929	100.20753	0.13671	-0.94745	172.54126	0.29236	-0.99140	0.12985	-0.01609	-0.12979	-0.99153	-0.00451	-0.01654	-0.00239	0.99986	
1132.89957	8.17609	100.24216	0.13349	-0.87992	172.55246	0.28475	-0.99145	0.12965	-0.01493	-0.12960	-0.99156	-0.00430	-0.01536	-0.00233	0.99988	
1132.86214	8.20389	100.20813	0.12244	-0.98367	172.49757	0.29466	-0.99129	0.13060	-0.01674	-0.13055	-0.99143	-0.00436	-0.01717	-0.00214	0.99985	
1132.89403	8.18037	100.19509	0.11912	-1.02304	172.52505	0.29809	-0.99134	0.13013	-0.01743	-0.13007	-0.99149	-0.00438	-0.01785	-0.00208	0.99984	
1132.88718	8.17840	100.21467	0.16333	-0.96971	172.53770	0.26907	-0.99139	0.12992	-0.01641	-0.12986	-0.99152	-0.00502	-0.01692	-0.00285	0.99985	
1132.89806	8.15807	100.19908	0.12687	-1.00048	172.56131	0.30075	-0.99143	0.12950	-0.01703	-0.12945	-0.99158	-0.00446	-0.01746	-0.00221	0.99985	
