x, y, z, qx, qy, qz, qw
-0.0312437500, -0.0000935541, 0.1149744000, 0.0198055100, 0.0002114320, 0.0211780600, 0.9995795000
-0.0312240300, -0.0001500875, 0.1149843000, 0.0197184200, 0.0001220703, 0.0211696100, 0.9995815000
-0.0311531600, -0.0001596614, 0.1149604000, 0.0197561700, 0.0001220703, 0.0211625700, 0.9995809000
-0.0311404100, -0.0001681764, 0.1149650000, 0.0197437200, 0.0000000000, 0.0211678500, 0.9995810000
-0.0311639500, -0.0001391292, 0.1149641000, 0.0197957300, 0.0001726335, 0.0211720700, 0.9995798000
-0.0311884300, -0.0001422034, 0.1149646000, 0.0197655900, 0.0001726335, 0.0211734800, 0.9995804000
-0.0311803100, -0.0001606347, 0.1149680000, 0.0197399400, 0.0001220703, 0.0211703100, 0.9995810000
-0.0311784500, -0.0001250888, 0.1149691000, 0.0197870700, 0.0001726335, 0.0211594000, 0.9995803000
-0.0311789400, -0.0000290626, 0.1149406000, 0.0198442200, 0.0001726335, 0.0211812200, 0.9995787000
-0.0311898600, -0.0000368778, 0.1149556000, 0.0197750100, 0.0001726335, 0.0211840400, 0.9995800000
-0.0311959300, -0.0000374833, 0.1149604000, 0.0197806600, 0.0001726335, 0.0211903700, 0.9995798000
-0.0312041400, -0.0000406668, 0.1149597000, 0.0197787800, 0.0001726335, 0.0211798200, 0.9995800000
-0.0311948900, -0.0000772325, 0.1149747000, 0.0197346600, 0.0001220703, 0.0211752400, 0.9995810000
-0.0311928100, -0.0000831397, 0.1149644000, 0.0197727500, 0.0001220703, 0.0211682000, 0.9995804000
-0.0312007800, -0.0000850855, 0.1149683000, 0.0197674800, 0.0001726335, 0.0211840400, 0.9995801000
-0.0312058800, -0.0000699363, 0.1149699000, 0.0197848100, 0.0001726335, 0.0211741800, 0.9995800000
-0.0312151800, -0.0000648886, 0.1149709000, 0.0197893300, 0.0001726335, 0.0211748900, 0.9995799000
-0.0312024200, -0.0001123308, 0.1149796000, 0.0197203100, 0.0001220703, 0.0211738300, 0.9995813000
-0.0312275400, -0.0001105235, 0.1149812000, 0.0197735100, 0.0001726335, 0.0211755900, 0.9995802000
-0.0312321200, -0.0001096523, 0.1149908000, 0.0197746400, 0.0001726335, 0.0211636300, 0.9995804000
-0.0312324300, -0.0000811237, 0.1149608000, 0.0197991100, 0.0002114320, 0.0211597500, 0.9995800000
-0.0312227800, -0.0000538061, 0.1149597000, 0.0198088900, 0.0001220703, 0.0211836800, 0.9995794000
-0.0312154200, -0.0000600184, 0.1149538000, 0.0197738800, 0.0001220703, 0.0211604600, 0.9995806000
-0.0312111300, -0.0001155265, 0.1149694000, 0.0197259700, 0.0001726335, 0.0211551800, 0.9995816000
-0.0312225400, -0.0001264768, 0.1149771000, 0.0197546600, 0.0001726335, 0.0211601100, 0.9995809000
-0.0312356600, -0.0000948360, 0.1149772000, 0.0197994900, 0.0001726335, 0.0211643300, 0.9995799000
-0.0312522700, -0.0000880783, 0.1149648000, 0.0197930900, 0.0001726335, 0.0211692600, 0.9995800000
-0.0312571500, -0.0000564297, 0.1149570000, 0.0198171700, 0.0001726335, 0.0211784100, 0.9995793000
-0.0312686400, -0.0000385154, 0.1149526000, 0.0198235600, 0.0002114320, 0.0211843900, 0.9995790000
-0.0312761200, -0.0000337914, 0.1149534000, 0.0197953500, 0.0001726335, 0.0211713700, 0.9995799000
-0.0312070000, -0.0001434695, 0.1149739000, 0.0196987600, 0.0001220703, 0.0211696100, 0.9995818000
-0.0311967100, -0.0001486323, 0.1149680000, 0.0197663500, 0.0001726335, 0.0211587000, 0.9995807000
-0.0311969000, -0.0000199124, 0.1149703000, 0.0198412100, 0.0001726335, 0.0211727800, 0.9995789000
-0.0312082800, -0.0000458198, 0.1149827000, 0.0197614500, 0.0001726335, 0.0211699600, 0.9995806000
-0.0311896300, -0.0000554666, 0.1149761000, 0.0138843900, 0.0001220703, 0.0148047700, 0.9997940000
-0.0311844900, -0.0000697878, 0.1150026000, 0.0079851150, 0.0000000000, 0.0084325760, 0.9999325000
-0.0311907300, -0.0000778946, 0.1149692000, 0.0080158470, 0.0000000000, 0.0084396410, 0.9999322000
-0.0312048200, -0.0000183522, 0.1149614000, 0.0080705010, 0.0000000000, 0.0084731220, 0.9999316000
-0.0312267400, -0.0000174255, 0.1149622000, 0.0080344160, 0.0000000000, 0.0084608020, 0.9999319000
-0.0312402200, -0.0000058858, 0.1149669000, 0.0080390510, 0.0000000000, 0.0084555170, 0.9999319000
-0.0312501200, -0.0000052949, 0.1149631000, 0.0080371960, 0.0000000000, 0.0084608020, 0.9999319000
-0.0312332300, -0.0000280186, 0.1149675000, 0.0079990990, 0.0000000000, 0.0084599220, 0.9999322000
-0.0312329500, -0.0000395705, 0.1149754000, 0.0080065470, 0.0000000000, 0.0084581600, 0.9999322000
-0.0312505500, -0.0000390267, 0.1149678000, 0.0080307050, 0.0000000000, 0.0084572800, 0.9999320000
-0.0312054900, -0.0000725304, 0.1149478000, 0.0079935080, 0.0000000000, 0.0084237360, 0.9999326000
-0.0312108100, -0.0000082591, 0.1149447000, 0.0080677300, 0.0000000000, 0.0084590410, 0.9999317000
-0.0312258400, 0.0000323740, 0.1149375000, 0.0080824930, 0.0000000000, 0.0084643240, 0.9999315000
-0.0311982600, -0.0000227125, 0.1149424000, 0.0079851150, 0.0000000000, 0.0084405240, 0.9999325000
-0.0312076800, -0.0000099329, 0.1149451000, 0.0080446100, 0.0000000000, 0.0084502290, 0.9999319000
-0.0312219900, -0.0000062556, 0.1149474000, 0.0080316330, 0.0000000000, 0.0084502290, 0.9999321000
-0.0312266100, -0.0000372710, 0.1149588000, 0.0079869810, 0.0000000000, 0.0084431720, 0.9999325000
-0.0312236900, -0.0000248121, 0.1149462000, 0.0080390510, 0.0000000000, 0.0084537550, 0.9999319000
-0.0312010700, -0.0001020215, 0.1149490000, 0.0079589470, 0.0000000000, 0.0084378760, 0.9999327000
-0.0312016700, -0.0000556306, 0.1149442000, 0.0080464610, 0.0000000000, 0.0084696040, 0.9999318000
-0.0311723700, -0.0000978780, 0.1149436000, 0.0079813820, 0.0000000000, 0.0084687240, 0.9999323000
-0.0311571600, -0.0001032614, 0.1149390000, 0.0080046860, 0.0000000000, 0.0084537550, 0.9999322000
-0.0311716700, -0.0001043226, 0.1149425000, 0.0080111990, 0.0000000000, 0.0084616830, 0.9999321000
-0.0311870200, -0.0001076637, 0.1149442000, 0.0080102680, 0.0000000000, 0.0084625630, 0.9999321000
