rx, ry, rz, qx, qy, qz, qw
0.0372153500, -0.0495035000, -1.074043000, -0.2072234000, -0.3621771000, -0.1049810000, -0.902698900
0.0372153500, -0.0495035000, -1.074043000, -0.2072234000, -0.3621771000, -0.1049810000, -0.902698900
0.0372153500, -0.0495035000, -1.074043000, -0.2072234000, -0.3621771000, -0.1049810000, -0.902698900
0.0372153500, -0.0495035000, -1.074043000, -0.2072234000, -0.3621771000, -0.1049810000, -0.902698900
0.0372153500, -0.0495035000, -1.074043000, -0.2072234000, -0.3621771000, -0.1049810000, -0.902698900
0.0372153500, -0.0495035000, -1.074043000, -0.2072234000, -0.3621771000, -0.1049810000, -0.902698900
0.0372153500, -0.0495035000, -1.074043000, -0.2072234000, -0.3621771000, -0.1049810000, -0.902698900
0.0372153500, -0.0495035000, -1.074043000, -0.2072234000, -0.3621771000, -0.1049810000, -0.902698900
0.0372055000, -0.0494941300, -1.074030000, -0.2071716000, -0.3621861000, -0.1049392000, -0.902712000
0.0372055000, -0.0494941300, -1.074030000, -0.2071716000, -0.3621861000, -0.1049392000, -0.902712000
0.0372055000, -0.0494941300, -1.074030000, -0.2071716000, -0.3621861000, -0.1049392000, -0.902712000
0.0372055000, -0.0494941300, -1.074030000, -0.2071716000, -0.3621861000, -0.1049392000, -0.902712000
0.0372055000, -0.0494941300, -1.074030000, -0.2071716000, -0.3621861000, -0.1049392000, -0.902712000
0.0372055000, -0.0494941300, -1.074030000, -0.2071716000, -0.3621861000, -0.1049392000, -0.902712000
0.0371858400, -0.0495067800, -1.074034000, -0.2073505000, -0.3622209000, -0.1049558000, -0.902655100
0.0371858400, -0.0495067800, -1.074034000, -0.2073505000, -0.3622209000, -0.1049558000, -0.902655100
0.0371858400, -0.0495067800, -1.074034000, -0.2073505000, -0.3622209000, -0.1049558000, -0.902655100
0.0371858400, -0.0495067800, -1.074034000, -0.2073505000, -0.3622209000, -0.1049558000, -0.902655100
0.0371858400, -0.0495067800, -1.074034000, -0.2073505000, -0.3622209000, -0.1049558000, -0.902655100
0.0371858400, -0.0495067800, -1.074034000, -0.2073505000, -0.3622209000, -0.1049558000, -0.902655100
0.0371887500, -0.0494986000, -1.074039000, -0.2071806000, -0.3622017000, -0.1049098000, -0.902707000
0.0371887500, -0.0494986000, -1.074039000, -0.2071806000, -0.3622017000, -0.1049098000, -0.902707000
0.0371887500, -0.0494986000, -1.074039000, -0.2071806000, -0.3622017000, -0.1049098000, -0.902707000
0.0371887500, -0.0494986000, -1.074039000, -0.2071806000, -0.3622017000, -0.1049098000, -0.902707000
0.0371887500, -0.0494986000, -1.074039000, -0.2071806000, -0.3622017000, -0.1049098000, -0.902707000
0.0371887500, -0.0494986000, -1.074039000, -0.2071806000, -0.3622017000, -0.1049098000, -0.902707000
