rx, ry, rz, ax, ay, az, qx, qy, qz, qw
-0.4533005000, 0.0597072100, -0.140005000, -0.1034115000, -0.6717598000, 0.0469018200, -0.732014400, 0.1520957000, -0.9351764000, 1.034942000
-0.4529618000, 0.0604066400, -0.140173100, -0.1013323000, -0.6729064000, 0.0454890600, -0.731340900, 0.1520957000, -0.9351764000, 1.034942000
-0.4529618000, 0.0604066400, -0.140173100, -0.1013323000, -0.6729064000, 0.0454890600, -0.731340900, 0.1520957000, -0.9351764000, 1.034942000
-0.4532082000, 0.0601678300, -0.140364100, -0.1018885000, -0.6717189000, 0.0463176000, -0.732302700, 0.3877132000, -0.8565952000, 0.817475000
-0.4529188000, 0.0607435000, -0.140565700, -0.1002296000, -0.6721340000, 0.0451519300, -0.732223500, 0.1624870000, -1.1456680000, 0.797643100
-0.4529188000, 0.0607435000, -0.140565700, -0.1002296000, -0.6721340000, 0.0451519300, -0.732223500, 0.1624870000, -1.1456680000, 0.797643100
-0.4533065000, 0.0603175700, -0.140941200, -0.1017742000, -0.6708147000, 0.0460937100, -0.733161000, 0.1959714000, -1.2084220000, 0.629854300
-0.4530706000, 0.0607384100, -0.141110200, -0.1010144000, -0.6709900000, 0.0456805700, -0.733131500, 0.3301013000, -1.0309060000, 0.533384900
-0.4530706000, 0.0607384100, -0.141110200, -0.1010144000, -0.6709900000, 0.0456805700, -0.733131500, 0.3301013000, -1.0309060000, 0.533384900
-0.4531459000, 0.0607302000, -0.141226700, -0.1011070000, -0.6703635000, 0.0462044700, -0.733658800, 0.2734830000, -1.0983580000, 0.523601100
-0.4528954000, 0.0610744200, -0.141485700, -0.1003731000, -0.6705135000, 0.0458005000, -0.733647900, 0.1359887000, -1.0860680000, 0.471053200
-0.4528954000, 0.0610744200, -0.141485700, -0.1003731000, -0.6705135000, 0.0458005000, -0.733647900, 0.1359887000, -1.0860680000, 0.471053200
-0.4531878000, 0.0605742000, -0.142224700, -0.1009331000, -0.6700411000, 0.0467232100, -0.733944400, 0.1905629000, -0.9922133000, 0.379810900
-0.4528706000, 0.0609871700, -0.142339200, -0.1001345000, -0.6699046000, 0.0465712100, -0.734188000, 0.1905629000, -0.9922133000, 0.379810900
-0.4528706000, 0.0609871700, -0.142339200, -0.1001345000, -0.6699046000, 0.0465712100, -0.734188000, 0.1905629000, -0.9922133000, 0.379810900
-0.4532495000, 0.0603687900, -0.143312500, -0.1008581000, -0.6692679000, 0.0474350400, -0.734614200, 0.0946602500, -0.7822200000, 0.240786600
-0.4531917000, 0.0604051400, -0.143529500, -0.1008212000, -0.6693417000, 0.0476418000, -0.734538600, 0.1515560000, -0.7593650000, 0.069037150
-0.4531917000, 0.0604051400, -0.143529500, -0.1008212000, -0.6693417000, 0.0476418000, -0.734538600, 0.1515560000, -0.7593650000, 0.069037150
-0.4534214000, 0.0600900700, -0.144581100, -0.1007876000, -0.6686355000, 0.0488470500, -0.735107000, -0.0277238800, -0.4915711000, -0.031886240
-0.4533306000, 0.0600626700, -0.145190000, -0.1006228000, -0.6687747000, 0.0494557600, -0.734962300, 0.0469484600, -0.3436197000, -0.084638340
-0.4533306000, 0.0600626700, -0.145190000, -0.1006228000, -0.6687747000, 0.0494557600, -0.734962300, 0.0469484600, -0.3436197000, -0.084638340
-0.4534430000, 0.0600185900, -0.145396900, -0.1005571000, -0.6684462000, 0.0498670300, -0.735242300, -0.0357658400, -0.2978836000, -0.190143400
-0.4532870000, 0.0601650600, -0.145753500, -0.1004160000, -0.6683114000, 0.0504458900, -0.735344600, -0.0763123800, -0.2919903000, -0.156257200
-0.4532870000, 0.0601650600, -0.145753500, -0.1004160000, -0.6683114000, 0.0504458900, -0.735344600, -0.0763123800, -0.2919903000, -0.156257200
-0.4537022000, 0.0598362200, -0.146514800, -0.1002376000, -0.6688358000, 0.0507249700, -0.734872800, -0.0569171500, -0.0494899100, -0.230104100
-0.4535464000, 0.0599161000, -0.146985500, -0.0993246200, -0.6684525000, 0.0512617900, -0.735308200, -0.1015938000, 0.0039908710, -0.271694200
-0.4535464000, 0.0599161000, -0.146985500, -0.0993246200, -0.6684525000, 0.0512617900, -0.735308200, -0.1015938000, 0.0039908710, -0.271694200
-0.4540482000, 0.0596690900, -0.147734600, -0.0995115900, -0.6689376000, 0.0513929300, -0.734832400, -0.0718412500, 0.1030073000, -0.358652200
-0.4538460000, 0.0598511500, -0.148053000, -0.0990186000, -0.6688917000, 0.0521133900, -0.734890100, -0.0718412500, 0.1030073000, -0.358652200
-0.4538460000, 0.0598511500, -0.148053000, -0.0990186000, -0.6688917000, 0.0521133900, -0.734890100, -0.0718412500, 0.1030073000, -0.358652200
-0.4543492000, 0.0596495300, -0.148796000, -0.0991531500, -0.6693813000, 0.0521137600, -0.734426000, -0.1663727000, 0.2211235000, -0.334416000
-0.4546044000, 0.0596482900, -0.149718800, -0.0979324800, -0.6700364000, 0.0526535400, -0.733953800, -0.1852010000, 0.3571432000, -0.265571100
-0.4546044000, 0.0596482900, -0.149718800, -0.0979324800, -0.6700364000, 0.0526535400, -0.733953800, -0.1852010000, 0.3571432000, -0.265571100
-0.4547110000, 0.0596552500, -0.149829600, -0.0982475800, -0.6701890000, 0.0527036300, -0.733768800, -0.2540364000, 0.4619548000, -0.384137600
-0.4546382000, 0.0597599100, -0.150363000, -0.0971762100, -0.6706169000, 0.0528680700, -0.733508500, -0.1805977000, 0.5264285000, -0.397279600
-0.4546382000, 0.0597599100, -0.150363000, -0.0971762100, -0.6706169000, 0.0528680700, -0.733508500, -0.1805977000, 0.5264285000, -0.397279600
-0.4550151000, 0.0596557700, -0.150832400, -0.0970009600, -0.6710446000, 0.0525169400, -0.733165700, -0.2553158000, 0.4784475000, -0.379678600
-0.4549935000, 0.0598439200, -0.151331500, -0.0961378700, -0.6719915000, 0.0529005900, -0.732384100, -0.1958877000, 0.5012672000, -0.337566100
-0.4549935000, 0.0598439200, -0.151331500, -0.0961378700, -0.6719915000, 0.0529005900, -0.732384100, -0.1958877000, 0.5012672000, -0.337566100
-0.4555008000, 0.0597461900, -0.151909900, -0.0960409200, -0.6724695000, 0.0522744300, -0.732002900, -0.1474752000, 0.5202267000, -0.248197000
-0.4554963000, 0.0599701800, -0.152455900, -0.0949713900, -0.6735204000, 0.0524751300, -0.731161400, -0.0159602200, 0.5572524000, -0.336514900
-0.4554963000, 0.0599701800, -0.152455900, -0.0949713900, -0.6735204000, 0.0524751300, -0.731161400, -0.0159602200, 0.5572524000, -0.336514900
-0.4559215000, 0.0599068800, -0.152847400, -0.0945595400, -0.6740624000, 0.0518347700, -0.730760900, -0.1667674000, 0.6155068000, -0.197155800
-0.4564189000, 0.0602183900, -0.153856500, -0.0937378000, -0.6754637000, 0.0514913200, -0.729596200, -0.1010382000, 0.5013962000, -0.266634800
-0.4564189000, 0.0602183900, -0.153856500, -0.0937378000, -0.6754637000, 0.0514913200, -0.729596200, -0.1010382000, 0.5013962000, -0.266634800
-0.4565703000, 0.0601547900, -0.153989900, -0.0935085900, -0.6757721000, 0.0509484200, -0.729378100, -0.1954039000, 0.5104309000, -0.138338100
-0.4566315000, 0.0604848300, -0.154560600, -0.0923121300, -0.6772456000, 0.0508444000, -0.728170100, -0.1646891000, 0.5501913000, -0.253390900
-0.4566315000, 0.0604848300, -0.154560600, -0.0923121300, -0.6772456000, 0.0508444000, -0.728170100, -0.1646891000, 0.5501913000, -0.253390900
-0.4569257000, 0.0604209500, -0.154810800, -0.0922159900, -0.6774633000, 0.0502327600, -0.728022300, -0.1808806000, 0.4467485000, -0.205226100
-0.4569987000, 0.0607578000, -0.155393200, -0.0909327400, -0.6790852000, 0.0498625700, -0.726696800, -0.2217382000, 0.5058926000, -0.088002700
-0.4569987000, 0.0607578000, -0.155393200, -0.0909327400, -0.6790852000, 0.0498625700, -0.726696800, -0.2217382000, 0.5058926000, -0.088002700
-0.4575182000, 0.0607427500, -0.155759700, -0.0910598900, -0.6794012000, 0.0494743400, -0.726412100, -0.1684980000, 0.4721442000, -0.150209100
-0.4576577000, 0.0611573600, -0.156372800, -0.0901263300, -0.6810840000, 0.0490791500, -0.724978000, -0.2039970000, 0.4346855000, -0.096247000
-0.4576577000, 0.0611573600, -0.156372800, -0.0901263300, -0.6810840000, 0.0490791500, -0.724978000, -0.2039970000, 0.4346855000, -0.096247000
-0.4582190000, 0.0611137600, -0.156696000, -0.0898010300, -0.6815140000, 0.0486180000, -0.724645300, -0.2170665000, 0.4404857000, 0.057630020
-0.4584065000, 0.0615818200, -0.157315800, -0.0889392900, -0.6832644000, 0.0481801200, -0.723130800, -0.2016672000, 0.4372923000, 0.038650670
-0.4584065000, 0.0615818200, -0.157315800, -0.0889392900, -0.6832644000, 0.0481801200, -0.723130800, -0.2016672000, 0.4372923000, 0.038650670
-0.4587903000, 0.0615833200, -0.157503500, -0.0887003200, -0.6837556000, 0.0473998900, -0.722747300, -0.2065832000, 0.6038104000, -0.147790800
-0.4590167000, 0.0621229900, -0.158159400, -0.0875911600, -0.6852577000, 0.0469933500, -0.721485400, -0.1063554000, 0.5891584000, 0.031567510
-0.4590167000, 0.0621229900, -0.158159400, -0.0875911600, -0.6852577000, 0.0469933500, -0.721485400, -0.1063554000, 0.5891584000, 0.031567510
-0.4593845000, 0.0621204200, -0.158285900, -0.0870030900, -0.6858805000, 0.0465647900, -0.720992600, -0.0902165400, 0.7843522000, -0.034725950
-0.4596141000, 0.0626976700, -0.158955900, -0.0859240400, -0.6875282000, 0.0457090300, -0.719606000, -0.0216356100, 0.9698996000, -0.060515590
-0.4596141000, 0.0626976700, -0.158955900, -0.0859240400, -0.6875282000, 0.0457090300, -0.719606000, -0.0216356100, 0.9698996000, -0.060515590
-0.4600113000, 0.0627268900, -0.159114500, -0.0852190600, -0.6879693000, 0.0450886300, -0.719307400, -0.1305782000, 0.9816654000, -0.006469694
-0.4602536000, 0.0633779800, -0.159714500, -0.0835948700, -0.6900045000, 0.0443357100, -0.717593200, -0.0169306200, 0.9804030000, -0.060784700
