X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
-761.22840	55.81662	158.22564	0.96525	16.17770	31.64035	0.14445	0.81765	0.52851	-0.22833	-0.50381	0.84877	0.16048	0.27862	-0.01618	0.96027	
-761.21585	55.82099	158.22748	0.95745	16.17203	31.63293	0.13898	0.81773	0.52836	-0.22834	-0.50372	0.84887	0.16028	0.27852	-0.01605	0.96030	
-761.21630	55.83033	158.23972	0.96000	16.20790	31.62193	0.14813	0.81768	0.52822	-0.22886	-0.50347	0.84895	0.16059	0.27912	-0.01609	0.96012	
-761.21711	55.82502	158.21576	0.95385	16.12404	31.64072	0.12208	0.81786	0.52845	-0.22767	-0.50396	0.84881	0.15984	0.27772	-0.01599	0.96053	
-761.20054	55.83216	158.26224	0.96457	16.25446	31.61812	0.15346	0.81752	0.52819	-0.22950	-0.50330	0.84897	0.16106	0.27990	-0.01616	0.95989	
-761.21114	55.83257	158.22772	0.95555	16.17888	31.62322	0.14069	0.81779	0.52821	-0.22849	-0.50357	0.84896	0.16028	0.27864	-0.01602	0.96026	
-761.21991	55.84188	158.25348	0.95973	16.18063	31.62797	0.14420	0.81774	0.52830	-0.22846	-0.50363	0.84890	0.16037	0.27867	-0.01609	0.96025	
-761.21574	55.81746	158.22941	0.94957	16.15787	31.63168	0.11722	0.81780	0.52831	-0.22822	-0.50374	0.84890	0.16004	0.27828	-0.01592	0.96037	
-761.23288	55.83239	158.24386	0.96378	16.20328	31.63322	0.15313	0.81760	0.52840	-0.22873	-0.50365	0.84884	0.16065	0.27905	-0.01615	0.96014	
-761.22469	55.82230	158.23028	0.95291	16.19131	31.63174	0.14180	0.81767	0.52833	-0.22866	-0.50366	0.84889	0.16038	0.27885	-0.01597	0.96020	
-761.21849	55.84715	158.24553	0.95160	16.20271	31.62800	0.14455	0.81765	0.52828	-0.22885	-0.50357	0.84892	0.16045	0.27904	-0.01595	0.96015	
-761.23605	55.84034	158.24788	0.94864	16.18683	31.62963	0.13445	0.81770	0.52828	-0.22865	-0.50364	0.84892	0.16027	0.27877	-0.01590	0.96023	
-761.22573	55.85131	158.23725	0.95017	16.12871	31.62188	0.12086	0.81801	0.52816	-0.22782	-0.50367	0.84899	0.15975	0.27780	-0.01593	0.96051	
-761.21246	55.84623	158.28115	0.98681	16.21478	31.62444	0.15149	0.81763	0.52837	-0.22871	-0.50349	0.84886	0.16106	0.27924	-0.01654	0.96008	
-761.22622	55.85148	158.23852	0.95600	16.15687	31.62412	0.13279	0.81787	0.52822	-0.22817	-0.50363	0.84895	0.16009	0.27827	-0.01603	0.96037	
-761.23956	55.85002	158.25836	0.96109	16.19769	31.62923	0.14170	0.81766	0.52833	-0.22869	-0.50360	0.84889	0.16055	0.27895	-0.01611	0.96017	
-761.23055	55.86715	158.22399	0.95960	16.17167	31.62296	0.14266	0.81782	0.52823	-0.22835	-0.50358	0.84895	0.16027	0.27852	-0.01608	0.96030	
-761.22775	55.85436	158.23772	0.94806	16.17350	31.62288	0.12919	0.81782	0.52818	-0.22848	-0.50357	0.84898	0.16012	0.27855	-0.01589	0.96029	
-761.23512	55.85509	158.25089	0.96421	16.18063	31.62444	0.13998	0.81777	0.52827	-0.22843	-0.50358	0.84892	0.16043	0.27867	-0.01616	0.96025	
-761.22235	55.85687	158.23560	0.92845	16.10137	31.63818	0.11613	0.81798	0.52831	-0.22759	-0.50398	0.84891	0.15925	0.27734	-0.01557	0.96065	
