X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1231.63622	-61.20475	100.84768	0.05881	-1.44850	176.04572	0.14536	-0.99730	0.06899	-0.02515	-0.06894	-0.99762	-0.00277	-0.02528	-0.00103	0.99968	
1231.62438	-61.18921	100.82854	0.08659	-1.46397	176.03934	0.12171	-0.99729	0.06911	-0.02538	-0.06905	-0.99761	-0.00327	-0.02555	-0.00151	0.99967	
1231.61322	-61.18187	100.83865	0.06367	-1.47265	176.03844	0.12806	-0.99728	0.06912	-0.02556	-0.06906	-0.99761	-0.00288	-0.02570	-0.00111	0.99967	
1231.62381	-61.18924	100.84715	0.07514	-1.43018	176.03371	0.13828	-0.99729	0.06920	-0.02481	-0.06915	-0.99760	-0.00303	-0.02496	-0.00131	0.99969	
1231.61971	-61.20575	100.82743	0.08546	-1.49613	176.03529	0.13002	-0.99727	0.06918	-0.02594	-0.06912	-0.99760	-0.00329	-0.02611	-0.00149	0.99966	
1231.61757	-61.17787	100.82810	0.09687	-1.47099	176.05109	0.12931	-0.99730	0.06891	-0.02549	-0.06884	-0.99762	-0.00345	-0.02567	-0.00169	0.99967	
1231.61365	-61.18391	100.78825	0.05589	-1.59144	176.06393	0.11241	-0.99726	0.06867	-0.02764	-0.06862	-0.99764	-0.00288	-0.02777	-0.00098	0.99961	
1231.60358	-61.19727	100.80908	0.05471	-1.49852	176.06792	0.12816	-0.99730	0.06860	-0.02602	-0.06855	-0.99764	-0.00275	-0.02615	-0.00095	0.99966	
1231.61138	-61.20095	100.80422	0.07617	-1.47378	176.07297	0.11419	-0.99732	0.06852	-0.02557	-0.06846	-0.99765	-0.00309	-0.02572	-0.00133	0.99967	
1231.63787	-61.18285	100.82063	0.05504	-1.45069	176.04756	0.12841	-0.99730	0.06895	-0.02519	-0.06891	-0.99762	-0.00270	-0.02532	-0.00096	0.99968	
1231.60536	-61.21139	100.79850	0.04241	-1.51662	176.07515	0.12385	-0.99731	0.06847	-0.02635	-0.06842	-0.99765	-0.00255	-0.02647	-0.00074	0.99965	
1231.59536	-61.22489	100.78294	0.06949	-1.59287	176.07979	0.12029	-0.99727	0.06840	-0.02765	-0.06834	-0.99766	-0.00311	-0.02780	-0.00121	0.99961	
1231.60029	-61.22887	100.82172	0.06096	-1.54715	176.06537	0.14082	-0.99728	0.06865	-0.02686	-0.06859	-0.99764	-0.00291	-0.02700	-0.00106	0.99963	
1231.54701	-61.17229	100.92974	-0.00742	-1.28245	175.99741	0.22051	-0.99731	0.06980	-0.02234	-0.06978	-0.99756	-0.00143	-0.02238	0.00013	0.99975	
1231.62288	-61.16571	100.83934	0.08275	-1.46605	176.02174	0.13063	-0.99726	0.06941	-0.02542	-0.06936	-0.99759	-0.00322	-0.02558	-0.00144	0.99967	
1231.63020	-61.17706	100.83478	0.07877	-1.45362	176.04572	0.12672	-0.99730	0.06900	-0.02521	-0.06894	-0.99762	-0.00312	-0.02537	-0.00137	0.99968	
